ID,invoice_ID,lineNumber,description,quantity,unitPrice,totalAmount,createdAt,createdBy,modifiedAt,modifiedBy
ITEM001,INV001,1,Software Licenses,10,3000,30000,2026-01-05T09:10:00Z,admin,2026-01-05T09:10:00Z,admin
ITEM002,INV001,2,Support Services,4,5000,20000,2026-01-05T09:15:00Z,admin,2026-01-05T09:15:00Z,admin
ITEM003,INV002,1,Cloud Subscription,5,3000,15000,2026-01-08T09:15:00Z,admin,2026-01-08T09:15:00Z,admin
ITEM004,INV002,2,Consulting Services,2,5000,10000,2026-01-08T09:20:00Z,admin,2026-01-08T09:20:00Z,admin
ITEM005,INV003,1,Networking Equipment,3,3000,9000,2026-01-10T09:10:00Z,admin,2026-01-10T09:10:00Z,admin
ITEM006,INV003,2,Cables and Accessories,12,500,6000,2026-01-10T09:15:00Z,admin,2026-01-10T09:15:00Z,admin
ITEM007,INV004,1,Industrial Machines,2,25000,50000,2026-01-12T09:10:00Z,admin,2026-01-12T09:10:00Z,admin
ITEM008,INV004,2,Installation Charges,1,25000,25000,2026-01-12T09:15:00Z,admin,2026-01-12T09:15:00Z,admin
ITEM009,INV005,1,Raw Materials,20,2000,40000,2026-01-15T09:10:00Z,admin,2026-01-15T09:10:00Z,admin
ITEM010,INV005,2,Logistics Charges,11,2000,22000,2026-01-15T09:15:00Z,admin,2026-01-15T09:15:00Z,admin
ITEM011,INV006,1,Printer Cartridges,20,500,10000,2026-01-18T09:10:00Z,admin,2026-01-18T09:10:00Z,admin
ITEM012,INV006,2,Office Furniture,2,4000,8000,2026-01-18T09:15:00Z,admin,2026-01-18T09:15:00Z,admin
ITEM013,INV007,1,Laptop Purchase,5,7000,35000,2026-01-20T09:10:00Z,admin,2026-01-20T09:10:00Z,admin
ITEM014,INV007,2,Docking Stations,5,2000,10000,2026-01-20T09:15:00Z,admin,2026-01-20T09:15:00Z,admin
ITEM015,INV008,1,Software Licenses,14,5000,70000,2026-01-22T09:10:00Z,admin,2026-01-22T09:10:00Z,admin
ITEM016,INV008,2,Annual Support,4,7000,28000,2026-01-22T09:15:00Z,admin,2026-01-22T09:15:00Z,admin
ITEM017,INV009,1,Office Supplies,20,300,6000,2026-01-25T09:10:00Z,admin,2026-01-25T09:10:00Z,admin
ITEM018,INV009,2,Maintenance Kit,6,1000,6000,2026-01-25T09:15:00Z,admin,2026-01-25T09:15:00Z,admin
ITEM019,INV010,1,Security Software,4,6000,24000,2026-01-27T09:10:00Z,admin,2026-01-27T09:10:00Z,admin
ITEM020,INV010,2,Training Services,2,5000,10000,2026-01-27T09:15:00Z,admin,2026-01-27T09:15:00Z,admin
