ID,invoiceNumber,vendor_ID,invoiceDate,dueDate,amount,currency,status,submittedBy,submittedAt,approvedBy,approvedAt,approvalComments,rejectedBy,rejectedAt,rejectionReason,createdAt,createdBy,modifiedAt,modifiedBy
INV001,INV-001,VENDOR001,2026-01-05,2026-02-04,50000,USD,APPROVED,taruna.munjal,2026-01-05T10:00:00Z,jane.smith,2026-01-05T15:45:00Z,Approved - all documents verified,"","","",2026-01-05T09:00:00Z,admin,2026-01-05T15:45:00Z,jane.smith
INV002,INV-002,VENDOR002,2026-01-08,2026-02-07,25000,EUR,SUBMITTED,rahul.sharma,2026-01-08T11:00:00Z,"","","","","","",2026-01-08T09:00:00Z,admin,2026-01-08T11:00:00Z,rahul.sharma
INV003,INV-003,VENDOR003,2026-01-10,2026-02-09,15000,INR,REJECTED,taruna.munjal,2026-01-10T09:30:00Z,,,,manager.one,2026-01-10T16:30:00Z,Missing supporting documents,2026-01-10T09:00:00Z,admin,2026-01-10T16:30:00Z,manager.one
INV004,INV-004,VENDOR005,2026-01-12,2026-02-11,75000,EUR,DRAFT,"","","","","","","","",2026-01-12T09:00:00Z,admin,2026-01-12T09:00:00Z,admin
INV005,INV-005,VENDOR006,2026-01-15,2026-02-14,62000,GBP,APPROVED,taruna.munjal,2026-01-15T10:30:00Z,jane.smith,2026-01-15T14:20:00Z,Approved after verification,"","","",2026-01-15T09:00:00Z,admin,2026-01-15T14:20:00Z,jane.smith
INV006,INV-006,VENDOR008,2026-01-18,2026-02-17,18000,AUD,DRAFT,"","","","","","","","",2026-01-18T09:00:00Z,admin,2026-01-18T09:00:00Z,admin
INV007,INV-007,VENDOR010,2026-01-20,2026-02-19,45000,USD,SUBMITTED,rahul.sharma,2026-01-20T10:00:00Z,"","","","","","",2026-01-20T09:00:00Z,admin,2026-01-20T10:00:00Z,rahul.sharma
INV008,INV-008,VENDOR001,2026-01-22,2026-02-21,98000,USD,APPROVED,taruna.munjal,2026-01-22T09:20:00Z,jane.smith,2026-01-22T13:00:00Z,Invoice approved,"","","",2026-01-22T09:00:00Z,admin,2026-01-22T13:00:00Z,jane.smith
INV009,INV-009,VENDOR003,2026-01-25,2026-02-24,12000,INR,DRAFT,"","","","","","","","",2026-01-25T09:00:00Z,admin,2026-01-25T09:00:00Z,admin
INV010,INV-010,VENDOR005,2026-01-27,2026-02-26,34000,EUR,SUBMITTED,rahul.sharma,2026-01-27T11:10:00Z,"","","","","","",2026-01-27T09:00:00Z,admin,2026-01-27T11:10:00Z,rahul.sharma
INV011,INV-011,VENDOR006,2026-02-01,2026-03-03,27000,GBP,REJECTED,taruna.munjal,2026-02-01T09:40:00Z,"","","",manager.two,2026-02-01T15:30:00Z,Incorrect amount entered,2026-02-01T09:00:00Z,admin,2026-02-01T15:30:00Z,manager.two
INV012,INV-012,VENDOR008,2026-02-03,2026-03-05,56000,AUD,APPROVED,rahul.sharma,2026-02-03T10:10:00Z,jane.smith,2026-02-03T14:10:00Z,Approved,"","","",2026-02-03T09:00:00Z,admin,2026-02-03T14:10:00Z,jane.smith
INV013,INV-013,VENDOR010,2026-02-05,2026-03-07,150000,USD,DRAFT,"","","","","","","","",2026-02-05T09:00:00Z,admin,2026-02-05T09:00:00Z,admin
INV014,INV-014,VENDOR001,2026-02-08,2026-03-10,89000,USD,APPROVED,taruna.munjal,2026-02-08T09:50:00Z,jane.smith,2026-02-08T12:30:00Z,Approved,"","","",2026-02-08T09:00:00Z,admin,2026-02-08T12:30:00Z,jane.smith
INV015,INV-015,VENDOR002,2026-02-10,2026-03-12,41000,EUR,SUBMITTED,rahul.sharma,2026-02-10T10:20:00Z,"","","","","","",2026-02-10T09:00:00Z,admin,2026-02-10T10:20:00Z,rahul.sharma
INV016,INV-016,VENDOR003,2026-02-12,2026-03-14,22000,INR,APPROVED,taruna.munjal,2026-02-12T10:10:00Z,jane.smith,2026-02-12T13:15:00Z,Approved,"","","",2026-02-12T09:00:00Z,admin,2026-02-12T13:15:00Z,jane.smith
INV017,INV-017,VENDOR005,2026-02-15,2026-03-17,39000,EUR,REJECTED,rahul.sharma,2026-02-15T10:00:00Z,"","","",manager.one,2026-02-15T16:00:00Z,Duplicate invoice number,2026-02-15T09:00:00Z,admin,2026-02-15T16:00:00Z,manager.one
INV018,INV-018,VENDOR006,2026-02-18,2026-03-20,67000,GBP,DRAFT,"","","","","","","","",2026-02-18T09:00:00Z,admin,2026-02-18T09:00:00Z,admin
INV019,INV-019,VENDOR008,2026-02-20,2026-03-22,92000,AUD,APPROVED,taruna.munjal,2026-02-20T09:30:00Z,jane.smith,2026-02-20T15:10:00Z,Approved,"","","",2026-02-20T09:00:00Z,admin,2026-02-20T15:10:00Z,jane.smith
INV020,INV-020,VENDOR010,2026-02-22,2026-03-24,28000,USD,SUBMITTED,rahul.sharma,2026-02-22T11:30:00Z,"","","","","","",2026-02-22T09:00:00Z,admin,2026-02-22T11:30:00Z,rahul.sharma
